# Directed graph (each unordered pair of nodes is saved once): Wiki-Vote.txt 
# Wikipedia voting on promotion to administratorship (till January 2008). Directed edge A->B means user A voted on B becoming Wikipedia administrator.
# Nodes: 7115 Edges: 103689
# FromNodeId	ToNodeId
30	1412
30	3352
30	5254
30	5543
30	7478
3	28
3	30
3	39
3	54
3	108
3	152
3	178
3	182
3	214
3	271
3	286
3	300
3	348
3	349
3	371
3	567
3	581
3	584
3	586
3	590
3	604
3	611
3	8283
25	3
25	6
25	8
25	19
25	23
25	28
25	29
25	30
25	33
25	35
25	50
25	54
25	55
25	75
25	80
25	86
25	94
25	127
25	152
25	154
25	182
25	192
25	214
25	224
25	226
25	246
25	252
25	255
25	257
25	261
25	271
25	273
25	280
25	282
25	286
25	299
25	300
25	302
25	306
25	308
25	310
25	322
25	325
25	339
25	348
25	349
25	356
25	358
25	363
25	370
25	371
25	373
25	377
25	379
25	407
25	415
25	422
25	428
25	439
25	488
25	514
25	545
25	549
25	560
25	590
25	592
25	600
25	604
25	611
25	645
25	650
25	659
25	664
25	667
25	673
25	675
25	696
25	706
25	723
25	739
25	756
25	857
25	864
25	893
25	959
25	994
25	1131
25	3755
25	8282
25	8284
4	8
4	10
4	28
4	30
4	38
4	55
4	56
4	75
4	130
4	140
4	147
4	151
4	152
4	214
4	232
4	243
4	282
4	299
4	341
4	363
4	370
4	415
4	560
4	606
4	611
4	645
4	650
4	659
4	8282
5	6
5	8
5	10
5	23
5	30
5	33
5	38
5	50
5	54
5	55
5	61
5	75
5	89
5	93
5	127
5	130
5	147
5	153
5	163
5	167
5	168
5	175
5	299
6	3
6	8
6	10
6	19
6	23
6	28
6	29
6	30
6	33
6	34
6	35
6	38
6	39
6	50
6	54
6	55
6	56
6	61
6	80
6	86
6	89
6	93
6	94
6	127
6	130
6	132
6	135
6	140
6	147
6	151
6	153
6	154
6	163
6	167
6	168
6	171
6	175
6	178
6	182
6	183
6	216
6	219
6	226
6	227
6	228
6	232
6	236
6	243
6	250
6	252
6	257
6	258
6	259
6	261
6	271
6	273
6	274
6	280
6	285
6	286
6	290
6	298
6	299
6	300
6	301
6	304
6	306
6	317
6	319
6	322
6	325
6	339
6	348
6	349
6	356
6	358
6	359
6	362
6	363
6	370
6	371
6	373
6	377
6	378
6	379
6	390
6	391
6	392
6	394
6	396
6	402
6	405
6	406
6	407
6	415
6	421
6	422
6	427
6	428
6	431
6	432
6	433
6	435
6	439
6	440
6	447
6	538
6	545
6	549
6	560
6	564
6	566
6	567
6	579
6	581
6	584
6	586
6	589
6	590
6	592
6	600
6	604
6	609
6	611
6	613
6	616
6	617
6	619
6	643
6	656
6	659
6	665
6	668
6	673
6	691
6	694
6	700
6	704
6	717
6	723
6	730
6	733
6	739
6	741
6	761
6	765
6	779
6	789
6	791
6	798
6	802
6	813
6	820
6	826
6	857
6	863
6	871
6	881
6	885
6	893
6	895
6	897
6	904
6	906
6	907
6	913
6	922
6	932
6	936
6	955
6	960
6	963
6	966
6	971
6	972
6	978
6	979
6	983
6	991
6	993
6	995
6	1007
